;longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity;people_per_household;rooms_per_person;beds_per_room
18881;-122,23;38,1;46;4143;895;2240;847;2,4201;92800;NEAR BAY;2,644628099;1,849553571;0,216027034
13383;-117,61;34,1;9;18956;4095;10323;3832;3,6033;132600;INLAND;2,693893528;1,836287901;0,216026588
14128;-117,07;32,76;14;2523;545;1297;525;2,3886;138100;NEAR OCEAN;2,47047619;1,945258288;0,216012683
4224;-118,27;34,12;50;2037;440;1089;417;3,575;230600;<1H OCEAN;2,611510791;1,870523416;0,216003927
18490;-121,57;37,02;17;2889;624;2681;608;2,9417;178000;INLAND;4,409539474;1,077582991;0,215991693
10038;-121,05;39,21;43;1264;273;611;260;2,535;117100;INLAND;2,35;2,068739771;0,215981013
13913;-116,05;34,12;19;301;65;150;56;3,125;65600;INLAND;2,678571429;2,006666667;0,215946844
3043;-119,27;35,49;39;2649;572;1815;547;2,3533;65400;INLAND;3,31809872;1,459504132;0,21593054
27;-122,28;37,85;49;1130;244;607;239;2,4597;93800;NEAR BAY;2,539748954;1,861614498;0,215929204
16193;-121,28;37,97;47;2348;507;1455;479;1,65;66000;INLAND;3,037578288;1,613745704;0,21592845
3369;-120,2;40,26;26;2399;518;1037;443;2,6765;47600;INLAND;2,340857788;2,31340405;0,215923301
19748;-122,22;40,18;13;3719;803;1754;764;2,3517;88900;INLAND;2,295811518;2,120296465;0,215918258
8047;-118,17;33,84;45;1533;331;791;335;3,4605;186600;<1H OCEAN;2,36119403;1,938053097;0,215916504
12617;-121,53;38,51;20;6132;1324;2595;1174;3,1607;178900;INLAND;2,210391823;2,36300578;0,215916504
13069;-121,33;38,57;17;1621;350;706;338;2,3684;150000;INLAND;2,088757396;2,296033994;0,215916101
13262;-117,68;34,09;22;1547;334;773;316;2,9812;148800;INLAND;2,446202532;2,001293661;0,215901745
10674;-117,77;33,53;46;1033;223;462;224;3,2708;384700;<1H OCEAN;2,0625;2,235930736;0,215876089
263;-122,2;37,78;50;1867;403;1128;378;2,5401;129100;NEAR BAY;2,984126984;1,655141844;0,215854312
11170;-117,97;33,82;26;2335;504;1121;502;2,9891;205200;<1H OCEAN;2,233067729;2,082961641;0,215845824
13147;-121,53;36,85;23;3359;725;1862;651;2,6719;193600;INLAND;2,860215054;1,803974221;0,215838047
15024;-117,01;32,79;31;3776;815;1886;799;3,4421;155300;<1H OCEAN;2,360450563;2,002120891;0,215836864
18738;-122,34;40,57;26;2187;472;1339;463;2,0395;67900;INLAND;2,892008639;1,633308439;0,215820759
7014;-118,07;33,97;36;1265;273;1052;253;4,8929;156200;<1H OCEAN;4,158102767;1,202471483;0,215810277
12164;-117,09;33,71;13;1974;426;1276;408;1,972;90500;INLAND;3,12745098;1,547021944;0,215805471
2944;-118,97;35,36;31;1418;306;1219;312;1,5743;46700;INLAND;3,907051282;1,163248564;0,215796897
19322;-122,94;38,5;46;2280;492;807;366;2,6316;117000;<1H OCEAN;2,204918033;2,82527881;0,215789474
19638;-120,81;37,53;15;570;123;189;107;1,875;181300;INLAND;1,76635514;3,015873016;0,215789474
11950;-117,44;33,92;33;2433;525;1466;517;3,0437;110800;INLAND;2,835589942;1,659618008;0,215782984
2863;-118,91;35,4;10;3587;774;1398;763;2,569;113000;INLAND;1,832241153;2,565808298;0,215779203
10974;-117,84;33,77;14;4412;952;1656;874;4,3292;206500;<1H OCEAN;1,894736842;2,664251208;0,215775159
10908;-117,86;33,73;30;2651;572;3249;552;3,7202;182100;<1H OCEAN;5,885869565;0,815943367;0,215767635
1490;-122,02;37,95;25;1205;260;608;272;2,4519;208300;NEAR BAY;2,235294118;1,981907895;0,215767635
19281;-122,75;38,43;36;1599;345;1086;314;2,6667;149100;<1H OCEAN;3,458598726;1,472375691;0,21575985
18546;-122,03;36,96;40;584;126;316;139;3,5938;243500;NEAR OCEAN;2,273381295;1,848101266;0,215753425
13837;-117,31;34,53;26;2299;496;1259;441;2,6125;79900;INLAND;2,854875283;1,826052423;0,215745977
6052;-117,75;34,04;22;2948;636;2600;602;3,125;113600;INLAND;4,318936877;1,133846154;0,215739484
2395;-119,4;37,09;22;2211;477;773;288;3,3269;102700;INLAND;2,684027778;2,860284605;0,215739484
8563;-118,42;33,93;28;4603;993;2191;943;4,5743;382200;<1H OCEAN;2,323435843;2,100867184;0,215728872
7983;-118,18;33,87;44;2137;461;1126;439;3,4408;172900;<1H OCEAN;2,564920273;1,897868561;0,215722976
10552;-117,71;33,63;16;1641;354;945;318;3,4261;219700;<1H OCEAN;2,971698113;1,736507937;0,215722121
16810;-122,43;37,64;34;8400;1812;4101;1717;4,1033;301000;NEAR OCEAN;2,388468259;2,048280907;0,215714286
12554;-121,45;38,54;47;1159;250;810;244;2,7787;56000;INLAND;3,319672131;1,430864198;0,215703192
1146;-121,39;39,61;22;2828;610;986;391;2,8871;94700;INLAND;2,52173913;2,868154158;0,215700141
11091;-117,88;33,84;31;3301;712;1532;682;3,7303;223800;<1H OCEAN;2,246334311;2,154699739;0,215692214
1780;-122,35;37,94;47;1275;275;844;273;2,8967;95600;NEAR BAY;3,091575092;1,510663507;0,215686275
14851;-117,07;32,65;12;4131;891;2272;840;3,4701;204900;NEAR OCEAN;2,704761905;1,818221831;0,215686275
16529;-121,18;37,79;16;1326;286;509;297;1,9464;112500;INLAND;1,713804714;2,605108055;0,215686275
7745;-118,16;33,94;25;5675;1224;3317;1119;3,9352;232900;<1H OCEAN;2,964253798;1,710883328;0,215682819
12827;-121,44;38,68;19;2476;534;1355;463;2,0625;94400;INLAND;2,926565875;1,827306273;0,215670436
12166;-117,11;33,74;18;4799;1035;1966;944;2,1182;71300;INLAND;2,082627119;2,440996948;0,215669931
8594;-118,36;33,88;31;2518;543;1107;508;4,7404;295800;<1H OCEAN;2,179133858;2,274616079;0,215647339
12938;-121,27;38,65;25;2787;601;1247;522;2,9016;159800;INLAND;2,388888889;2,234963913;0,215644062
16098;-122,5;37,76;46;2226;480;1272;468;4,2644;284100;NEAR OCEAN;2,717948718;1,75;0,215633423
19264;-122,74;38,43;11;4670;1007;2430;962;3,0341;142300;<1H OCEAN;2,525987526;1,9218107;0,215631692
8666;-118,37;33,82;32;2815;607;1338;609;4,5687;381200;<1H OCEAN;2,197044335;2,103886398;0,215630551
11089;-117,87;33,84;10;3381;729;1584;636;5,3812;235400;<1H OCEAN;2,490566038;2,134469697;0,215616681
8946;-118,46;34,02;39;3599;776;1569;763;5,2571;405400;<1H OCEAN;2,056356488;2,293817718;0,215615449
16558;-121,43;37,78;24;807;174;585;166;2,6181;163500;INLAND;3,524096386;1,379487179;0,215613383
7964;-118,19;33,86;42;1999;431;1060;399;3,7031;167100;<1H OCEAN;2,656641604;1,885849057;0,215607804
14160;-117,06;32,77;34;1730;373;730;350;2,0284;161800;NEAR OCEAN;2,085714286;2,369863014;0,215606936
6457;-118,05;34,11;48;1410;304;677;274;3,2596;272400;INLAND;2,47080292;2,082717873;0,215602837
349;-122,17;37,75;41;1257;271;828;230;2,5043;92300;NEAR BAY;3,6;1,518115942;0,215592681
8979;-118,43;33,99;45;2092;451;1190;429;3,8021;323000;<1H OCEAN;2,773892774;1,757983193;0,215583174
1178;-121,54;39,5;38;1438;310;779;275;1,3289;39400;INLAND;2,832727273;1,845956354;0,215577191
12241;-116,97;33,74;20;3674;792;1498;758;2,2161;76900;INLAND;1,976253298;2,452603471;0,215568862
16626;-120,83;35,32;11;3252;701;1814;660;3,2226;183200;NEAR OCEAN;2,748484848;1,792723264;0,215559656
11847;-120,53;39,79;18;1234;266;543;201;2,5156;71900;INLAND;2,701492537;2,272559853;0,215559157
12305;-116,89;33,48;14;1016;219;443;169;2,8071;137500;INLAND;2,621301775;2,293453725;0,215551181
17389;-120,45;34,96;11;1299;280;1158;223;2,5556;129200;<1H OCEAN;5,192825112;1,121761658;0,215550423
3281;-122,86;39,08;24;3127;674;1015;448;2,0417;78800;INLAND;2,265625;3,080788177;0,215542053
398;-122,29;37,88;50;1211;261;523;227;3,8672;216700;NEAR BAY;2,303964758;2,315487572;0,21552436
3850;-118,46;34,18;33;1791;386;844;397;4,5081;251400;<1H OCEAN;2,125944584;2,122037915;0,215522055
12379;-116,37;33,72;17;8626;1859;3497;1337;3,312;121300;INLAND;2,615557218;2,466685731;0,215511245
3948;-118,61;34,21;41;1058;228;778;245;3,3534;180500;<1H OCEAN;3,175510204;1,359897172;0,215500945
13562;-117,28;34,16;26;2469;532;1068;501;1,9832;122100;INLAND;2,131736527;2,311797753;0,215471851
7765;-118,1;33,9;35;1151;248;809;246;4,7813;160000;<1H OCEAN;3,288617886;1,422744129;0,215464813
6818;-118,08;34,08;38;1889;407;1330;396;3,9219;205200;<1H OCEAN;3,358585859;1,420300752;0,215457914
18927;-122,11;38,09;11;673;145;318;137;2,3929;122500;NEAR BAY;2,321167883;2,116352201;0,215453195
1044;-120,93;38,26;13;2084;449;834;305;3,2937;114200;INLAND;2,73442623;2,498800959;0,215451056
2148;-119,77;36,78;36;3616;779;1994;786;2,5434;67300;INLAND;2,536895674;1,813440321;0,215431416
11560;-117,98;33,76;24;1880;405;967;418;4,4545;192500;<1H OCEAN;2,313397129;1,944157187;0,215425532
20063;-120,4;37,98;19;2010;433;910;390;2,6696;121200;INLAND;2,333333333;2,208791209;0,215422886
4516;-118,2;34,04;47;1894;408;1629;379;3,7619;127600;<1H OCEAN;4,298153034;1,162676489;0,215417107
12307;-116,72;33,56;13;3166;682;1250;475;2,355;122900;INLAND;2,631578947;2,5328;0,215413771
2017;-119,81;36,71;25;1026;221;789;183;1,5625;52800;INLAND;4,31147541;1,300380228;0,21539961
20034;-119;36,05;24;3208;691;1986;662;1,5506;52300;INLAND;3;1,61530715;0,215399002
35;-122,27;37,83;51;2665;574;1258;536;2,7303;109700;NEAR BAY;2,347014925;2,118441971;0,215384615
3773;-118,42;34,15;27;2795;602;1073;535;5,1496;365000;<1H OCEAN;2,005607477;2,604846226;0,215384615
2660;-123,84;40,28;28;2809;605;1093;438;2,0962;74000;<1H OCEAN;2,49543379;2,569990851;0,215379138
8168;-118,13;33,8;41;1509;325;821;314;4,0893;223000;<1H OCEAN;2,614649682;1,838002436;0,21537442
5950;-117,86;34,14;36;3097;667;1484;634;3,1905;235300;INLAND;2,340694006;2,086927224;0,215369713
10956;-117,89;33,76;36;2656;572;2370;571;3,8056;177200;<1H OCEAN;4,15061296;1,120675105;0,215361446
1644;-121,83;37,95;17;1133;244;716;235;2,875;162500;INLAND;3,046808511;1,582402235;0,215357458
15985;-122,47;37,76;39;3200;689;1391;618;3,6346;338000;NEAR BAY;2,250809061;2,300503235;0,2153125
8290;-118,14;33,76;37;3242;698;1080;629;3,901;432500;NEAR OCEAN;1,717011129;3,001851852;0,215299198
11423;-117,99;33,69;17;3386;729;1715;666;3,7479;213000;<1H OCEAN;2,575075075;1,974344023;0,215298287
1835;-122,3;37,91;40;2866;617;1305;589;3,6321;209100;NEAR BAY;2,215619694;2,196168582;0,215282624
9418;-122,66;37,93;42;1505;324;553;277;4,1792;350000;NEAR OCEAN;1,996389892;2,721518987;0,215282392
14408;-117,23;32,78;35;1649;355;746;360;4,6293;356500;NEAR OCEAN;2,072222222;2,210455764;0,215281989
4089;-118,41;34,15;33;4032;868;1695;869;4,3468;425900;<1H OCEAN;1,950517837;2,378761062;0,215277778
19328;-122,91;38,46;18;2021;435;912;329;4,5;251900;<1H OCEAN;2,772036474;2,216008772;0,21523998
9720;-121,73;36,86;28;827;178;703;144;4,4271;175700;<1H OCEAN;4,881944444;1,176386913;0,215235792
20632;-121,21;39,49;18;697;150;356;114;2,5568;77100;INLAND;3,122807018;1,957865169;0,215208034
14788;-117,11;32,57;32;2723;586;1702;562;3,3371;140500;NEAR OCEAN;3,028469751;1,599882491;0,215203819
3099;-117,67;35,65;18;2737;589;1128;533;2,8;72000;INLAND;2,116322702;2,42641844;0,215199123
2189;-120,05;36,72;24;1961;422;1559;374;1,8299;57800;INLAND;4,168449198;1,257857601;0,215196328
19534;-120,95;37,65;14;5200;1119;3221;1102;2,6964;107000;INLAND;2,922867514;1,614405464;0,215192308
17020;-122,31;37,5;22;14034;3020;6266;2952;4,3939;491200;NEAR OCEAN;2,122628726;2,239706352;0,215191677
1144;-121,5;39,83;15;1896;408;893;334;1,6948;87500;INLAND;2,673652695;2,123180291;0,215189873
634;-122,17;37,72;43;3783;814;2139;789;4,0202;166300;NEAR BAY;2,711026616;1,76858345;0,215173143
20633;-121,22;39,43;17;2254;485;1007;433;1,7;92300;INLAND;2,325635104;2,238331678;0,215173026
10290;-117,8;33,87;16;5954;1281;3107;1209;4,2566;206100;<1H OCEAN;2,569892473;1,916317992;0,215149479
18526;-122,01;36,98;47;2403;517;1144;455;2,5954;229400;NEAR OCEAN;2,514285714;2,100524476;0,215147732
13429;-117,43;34,11;17;4109;884;2544;780;2,7757;109800;INLAND;3,261538462;1,615172956;0,215137503
12223;-116,99;33,73;13;16148;3474;6159;3232;1,9961;97800;INLAND;1,905631188;2,621854197;0,215135001
19939;-119,36;36,22;10;2445;526;1262;476;1,9355;68300;INLAND;2,651260504;1,937400951;0,215132924
2293;-119,76;36,8;20;6257;1346;2795;1267;2,2094;83700;INLAND;2,205998421;2,238640429;0,215119067
2617;-124,09;40,95;18;2250;484;1248;472;2,5893;99600;NEAR OCEAN;2,644067797;1,802884615;0,215111111
7396;-118,25;33,95;41;1576;339;1252;302;1,9798;98100;<1H OCEAN;4,145695364;1,258785942;0,215101523
17855;-121,9;37,46;29;2385;513;1788;510;3,8421;220700;<1H OCEAN;3,505882353;1,333892617;0,21509434
8727;-118,32;33,83;51;2399;516;1160;514;3,8456;318900;<1H OCEAN;2,256809339;2,068103448;0,215089621
7591;-118,24;33,9;38;2055;442;1518;425;2,3382;103000;<1H OCEAN;3,571764706;1,353754941;0,215085158
5509;-118,44;33,99;43;1432;308;782;303;4,3333;303900;<1H OCEAN;2,580858086;1,831202046;0,215083799
13247;-117,69;34,11;16;2427;522;794;491;2,6929;119300;INLAND;1,617107943;3,056675063;0,215080346
10868;-117,9;33,72;33;2613;562;3150;543;4,3899;180700;<1H OCEAN;5,801104972;0,82952381;0,215078454
11234;-117,96;33,82;29;2176;468;1632;428;3,707;180400;<1H OCEAN;3,813084112;1,333333333;0,215073529
17090;-122,24;37,47;35;2283;491;1148;436;4,5556;318600;NEAR OCEAN;2,633027523;1,988675958;0,215067893
19710;-121,68;39,29;29;1860;400;1137;365;1,5281;61600;INLAND;3,115068493;1,635883905;0,215053763
3656;-118,43;34,22;36;1372;295;774;306;3,6618;187300;<1H OCEAN;2,529411765;1,772609819;0,215014577
1769;-122,34;37,95;39;1986;427;1041;385;3,2333;135100;NEAR BAY;2,703896104;1,90778098;0,215005035
11459;-117,99;33,67;12;2228;479;1122;488;4,0385;350000;<1H OCEAN;2,299180328;1,98573975;0,214991023
10695;-117,75;33,61;16;2270;488;709;489;3,2845;227600;<1H OCEAN;1,449897751;3,201692525;0,214977974
3105;-117,67;35,63;32;3661;787;1613;706;3,0687;63500;INLAND;2,28470255;2,269683819;0,214968588
13158;-121,4;36,86;36;1256;270;910;255;1,9405;145400;INLAND;3,568627451;1,38021978;0,214968153
17674;-121,85;37,33;19;735;158;597;134;4,5208;188100;<1H OCEAN;4,455223881;1,231155779;0,214965986
9489;-123,75;39,37;16;1377;296;830;279;3,25;151400;<1H OCEAN;2,974910394;1,659036145;0,214960058
5565;-118,29;33,91;41;2475;532;1416;470;3,8372;156400;<1H OCEAN;3,012765957;1,747881356;0,214949495
6697;-118,1;34,14;45;3066;659;1287;625;3,5804;324400;<1H OCEAN;2,0592;2,382284382;0,21493803
14169;-117,05;32,75;36;2024;435;1030;390;3,8233;139800;NEAR OCEAN;2,641025641;1,965048544;0,214920949
17310;-120,27;34,72;14;1289;277;693;237;3,2569;230800;<1H OCEAN;2,924050633;1,86002886;0,214895268
18594;-122,16;37,17;35;6422;1380;2755;1064;5,0165;202300;NEAR OCEAN;2,589285714;2,331034483;0,214886328
3700;-118,37;34,2;33;1438;309;1378;306;2,8917;170400;<1H OCEAN;4,503267974;1,043541364;0,21488178
5514;-118,41;33,99;36;1089;234;632;215;3,6538;276100;<1H OCEAN;2,939534884;1,723101266;0,214876033
12898;-121,34;38,62;20;4021;864;1658;730;2,4537;153000;INLAND;2,271232877;2,425211098;0,214871922
10500;-117,7;33,47;21;1857;399;881;380;3,8403;350000;<1H OCEAN;2,318421053;2,107832009;0,214862682
7688;-118,1;33,95;34;3635;781;2171;720;3,7308;196900;<1H OCEAN;3,015277778;1,67434362;0,214855571
2122;-119,7;36,75;11;3626;779;1819;731;2,4956;87500;INLAND;2,488372093;1,993402969;0,214837286
20175;-119,22;34,34;29;3128;672;1815;648;2,9821;175700;NEAR OCEAN;2,800925926;1,723415978;0,21483376
12313;-116,69;33,5;13;1187;255;442;179;1,9107;155700;INLAND;2,469273743;2,685520362;0,214827296
7205;-118,18;34,02;35;661;142;720;143;2,8977;142500;<1H OCEAN;5,034965035;0,918055556;0,214826021
3836;-118,43;34,19;27;3440;739;1827;712;4,125;245500;<1H OCEAN;2,566011236;1,88286809;0,214825581
11333;-117,97;33,75;26;3361;722;2709;648;3,9107;190700;<1H OCEAN;4,180555556;1,240679217;0,214817019
62;-122,29;37,82;49;135;29;86;23;6,1183;75000;NEAR BAY;3,739130435;1,569767442;0,214814815
6936;-118,09;34,01;31;1108;238;1151;229;4,3333;149500;<1H OCEAN;5,026200873;0,962641182;0,214801444
10826;-117,94;33,66;16;2095;450;963;411;5,5;224100;<1H OCEAN;2,343065693;2,17549325;0,214797136
18602;-122,13;37,15;39;2854;613;1338;518;3,9423;180300;NEAR OCEAN;2,583011583;2,13303438;0,214786265
2687;-115,53;32,97;35;1583;340;933;318;2,4063;70700;INLAND;2,933962264;1,696677385;0,214782059
20573;-121,94;38,89;15;1462;314;774;271;2,5478;91700;INLAND;2,856088561;1,888888889;0,214774282
3162;-118,85;35,23;26;1639;352;1222;395;1,7656;68000;INLAND;3,093670886;1,341243863;0,214765101
15074;-116,97;32,83;23;149;32;101;34;2,6458;112500;<1H OCEAN;2,970588235;1,475247525;0,214765101
6385;-118,05;34,16;41;3320;713;1236;659;3,5694;278600;INLAND;1,875569044;2,686084142;0,214759036
19749;-122,21;40,2;19;3404;731;1421;683;2,6149;84400;INLAND;2,080527086;2,395496129;0,214747356
6954;-118,06;33,98;40;1723;370;1221;370;3,3562;169200;<1H OCEAN;3,3;1,411138411;0,21474173
11112;-117,87;33,84;25;1928;414;961;385;4,0724;231400;<1H OCEAN;2,496103896;2,006243496;0,21473029
5955;-117,86;34,13;40;1304;280;607;256;2,588;209500;INLAND;2,37109375;2,148270181;0,214723926
2871;-118,95;35,37;34;1672;359;1059;349;2,1588;61300;INLAND;3,034383954;1,57884797;0,214712919
17186;-122,27;37,24;30;2762;593;1581;502;5,1002;319400;NEAR OCEAN;3,14940239;1,746995572;0,214699493
17781;-121,84;37,37;28;1579;339;1252;353;4,1615;214800;<1H OCEAN;3,54674221;1,261182109;0,214692844
8598;-118,38;33,87;27;2287;491;1101;466;4,675;316900;<1H OCEAN;2,362660944;2,077202543;0,214691736
8636;-118,4;33,87;26;6712;1441;2803;1394;5,2276;434500;<1H OCEAN;2,010760402;2,394577239;0,214690107
13598;-117,25;34,15;30;1770;380;990;348;3,3;97600;INLAND;2,844827586;1,787878788;0,214689266
1021;-121,78;37,66;25;1947;418;900;354;3,8523;193000;INLAND;2,542372881;2,163333333;0,214689266
2576;-124,13;40,8;31;2152;462;1259;420;2,2478;81100;NEAR OCEAN;2,997619048;1,70929309;0,214684015
2147;-119,77;36,77;38;3065;658;1441;625;2,0564;64700;INLAND;2,3056;2,126995142;0,214681892
1250;-122,09;39,13;28;4169;895;2587;810;2,331;65500;INLAND;3,19382716;1,611519134;0,214679779
3165;-118,82;35,2;34;2185;469;1910;455;2,1136;57300;INLAND;4,197802198;1,143979058;0,214645309
6310;-117,99;34,04;30;4468;959;4027;938;3,185;168300;<1H OCEAN;4,293176972;1,109510802;0,214637422
16290;-121,23;37,96;44;2204;473;1277;435;1,5539;59200;INLAND;2,935632184;1,725920125;0,2146098
19468;-120,97;37,68;16;2493;535;1370;504;3,3368;121200;INLAND;2,718253968;1,819708029;0,214600882
12974;-121,29;38,68;12;5098;1094;2029;1065;3,5444;132500;INLAND;1,905164319;2,512567767;0,214593958
3384;-118,27;34,25;39;699;150;358;143;4,4375;195800;<1H OCEAN;2,503496503;1,952513966;0,214592275
3028;-119,45;35,13;34;1440;309;808;294;2,3013;26600;INLAND;2,74829932;1,782178218;0,214583333
11278;-117,95;33,78;26;4115;883;2184;825;3,9536;191000;<1H OCEAN;2,647272727;1,884157509;0,214580802
1677;-122,26;38,04;41;2512;539;1179;480;2,694;123000;NEAR BAY;2,45625;2,130619169;0,214570064
2737;-115,57;32,79;50;1291;277;864;274;1,6667;68100;INLAND;3,153284672;1,494212963;0,214562355
12809;-121,49;38,63;6;12197;2617;5634;2329;3,7449;129300;INLAND;2,419063976;2,164891729;0,214560958
18766;-122,31;40,45;25;2596;557;1536;549;2,0221;60400;INLAND;2,797814208;1,690104167;0,214560863
12562;-121,45;38,54;48;3421;734;1441;727;1,9485;86600;INLAND;1,982118294;2,374045802;0,214557147
900;-121,97;37,54;28;2312;496;1344;467;4,7135;203200;<1H OCEAN;2,877944325;1,720238095;0,214532872
331;-122,18;37,73;42;4074;874;2736;780;2,455;82400;NEAR BAY;3,507692308;1,489035088;0,214531173
14615;-117,16;32,78;24;3566;765;1697;722;3,6375;178600;NEAR OCEAN;2,350415512;2,101355333;0,21452608
11242;-118;33,82;24;3002;644;1495;634;3,1087;202800;<1H OCEAN;2,358044164;2,008026756;0,214523651
5563;-118,28;33,91;41;620;133;642;162;2,6546;159600;<1H OCEAN;3,962962963;0,965732087;0,214516129
2166;-119,83;36,77;32;2867;615;1705;570;2,4286;68100;INLAND;2,99122807;1,681524927;0,214509941
13801;-117,03;34,91;27;2718;583;1472;509;2,825;76600;INLAND;2,89194499;1,846467391;0,214495953
16062;-122,48;37,75;48;2555;548;1285;482;3,7734;314700;NEAR BAY;2,665975104;1,988326848;0,214481409
9686;-121,66;36,71;27;4131;886;2002;815;3,2929;157500;<1H OCEAN;2,456441718;2,063436563;0,214475914
20107;-120,2;37,8;30;1189;255;446;165;3,4838;112500;INLAND;2,703030303;2,665919283;0,214465938
12240;-116,98;33,74;25;4952;1062;1589;1024;1,8446;85700;INLAND;1,551757813;3,116425425;0,214458805
13970;-116,76;34,29;14;3959;849;1064;376;2,8214;111400;INLAND;2,829787234;3,720864662;0,214448093
897;-121,96;37,53;23;2215;475;1278;492;4,2955;218800;<1H OCEAN;2,597560976;1,733176839;0,214446953
15592;-116,58;32,69;19;4085;876;2133;718;2,919;116500;INLAND;2,970752089;1,915142991;0,214443084
4373;-118,28;34,1;44;2728;585;1227;567;4,0602;324000;<1H OCEAN;2,164021164;2,223308883;0,214442815
19775;-122,19;39,91;39;2467;529;1433;502;1,8571;53500;INLAND;2,854581673;1,721563154;0,214430482
15334;-117,29;33,2;16;2150;461;1428;407;2,4754;157300;NEAR OCEAN;3,508599509;1,505602241;0,214418605
3014;-118,95;34,81;30;2817;604;1089;412;3,1364;123500;INLAND;2,643203883;2,58677686;0,214412496
11886;-117,37;33,97;40;1166;250;976;244;1,95;84800;INLAND;4;1,194672131;0,214408233
4038;-118,53;34,16;32;3554;762;1623;750;3,6141;290600;<1H OCEAN;2,164;2,189772027;0,214406303
7058;-118,04;33,93;35;1805;387;1505;366;4,1667;151900;<1H OCEAN;4,112021858;1,199335548;0,214404432
3287;-122,53;39,09;11;1264;271;370;177;1,3;69700;INLAND;2,09039548;3,416216216;0,214398734
20505;-121,53;38,6;25;5154;1105;3196;1073;2,7566;80200;INLAND;2,978564772;1,612640801;0,214396585
17867;-122,07;37,44;21;4599;986;2756;943;2,9817;225000;NEAR BAY;2,922587487;1,668722787;0,214394434
1860;-124,14;41,95;21;2696;578;1208;494;2,275;122400;NEAR OCEAN;2,44534413;2,231788079;0,214391691
9432;-119,99;37,51;14;2878;617;1011;509;1,398;103800;INLAND;1,986247544;2,846686449;0,21438499
1087;-121,85;39,72;18;7272;1559;5022;1524;1,6911;98800;INLAND;3,295275591;1,448028674;0,214383938
16731;-122,4;37,68;41;2267;486;1045;459;4,1146;272200;NEAR BAY;2,276688453;2,16937799;0,214380238
15451;-117,29;33,18;17;821;176;436;168;3,1667;160600;NEAR OCEAN;2,595238095;1,883027523;0,214372716
2300;-119,76;36,82;17;6932;1486;3056;1453;2,3375;99300;INLAND;2,103234687;2,268324607;0,214368148
3848;-118,45;34,18;39;1810;388;839;380;3,7171;228800;<1H OCEAN;2,207894737;2,157330155;0,214364641
3400;-118,32;34,26;32;3690;791;1804;715;4,4875;222700;<1H OCEAN;2,523076923;2,045454545;0,214363144
15140;-116,91;32,82;14;1978;424;1085;387;3,8073;170100;<1H OCEAN;2,803617571;1,823041475;0,214357937
11841;-120,74;39,9;23;1017;218;387;152;2,2656;88200;INLAND;2,546052632;2,627906977;0,214355949
8436;-118,36;33,91;41;2048;439;1191;429;3,8;222500;<1H OCEAN;2,776223776;1,719563392;0,214355469
10567;-117,67;33,66;4;10175;2181;4762;1929;4,7341;237400;<1H OCEAN;2,468636599;2,136707266;0,214348894
2178;-119,85;36,75;24;1143;245;608;240;2,8194;81100;INLAND;2,533333333;1,879934211;0,214348206
4004;-118,61;34,17;31;1689;362;705;360;4;278500;<1H OCEAN;1,958333333;2,395744681;0,214328005
79;-122,29;37,81;23;1745;374;1054;325;0,8026;112500;NEAR BAY;3,243076923;1,655597723;0,214326648
3893;-118,55;34,21;33;3910;838;2097;810;3,8247;208700;<1H OCEAN;2,588888889;1,864568431;0,214322251
11803;-121,1;38,92;21;4064;871;1847;859;3,0321;135500;INLAND;2,150174622;2,200324851;0,214320866
13641;-117,32;34,06;46;476;102;476;91;1,4511;73100;INLAND;5,230769231;1;0,214285714
11316;-117,97;33,76;18;1862;399;1301;369;3,1771;194000;<1H OCEAN;3,525745257;1,431206764;0,214285714
13496;-117,34;34,14;37;1834;393;1198;348;2,225;81600;INLAND;3,442528736;1,530884808;0,214285714
12506;-121,42;38,55;35;182;39;115;43;2,6417;98900;INLAND;2,674418605;1,582608696;0,214285714
19149;-122,71;38,34;23;2744;588;1493;557;3,1781;162000;<1H OCEAN;2,68043088;1,837910248;0,214285714
10970;-117,84;33,76;16;238;51;93;50;5,375;215700;<1H OCEAN;1,86;2,559139785;0,214285714
20129;-118,91;34,4;30;2861;613;2065;586;3,2024;176100;<1H OCEAN;3,523890785;1,385472155;0,214260748
17091;-122,24;37,47;36;2021;433;1117;432;3,929;303100;NEAR OCEAN;2,585648148;1,809310654;0,214250371
19987;-119,35;36,2;31;1783;382;1266;358;2,2264;50800;INLAND;3,536312849;1,408372828;0,214245653
5957;-117,87;34,13;32;1741;373;872;333;3,4219;194500;<1H OCEAN;2,618618619;1,996559633;0,214244687
18634;-121,98;36,99;14;6787;1454;3416;1357;3,5943;262400;NEAR OCEAN;2,517317612;1,986826698;0,214233093
4059;-118,44;34,15;37;1335;286;539;279;3,2813;301700;<1H OCEAN;1,931899642;2,476808905;0,21423221
12310;-116,76;33,46;6;1251;268;544;216;3,0694;173400;INLAND;2,518518519;2,299632353;0,214228617
7489;-118,22;33,92;43;1195;256;1251;262;3,4539;125000;<1H OCEAN;4,77480916;0,955235811;0,214225941
15970;-122,4;37,72;47;1167;250;953;253;4,2727;241900;NEAR BAY;3,766798419;1,22455404;0,214224507
13190;-117,69;34,08;14;4136;886;2026;788;3,2344;128200;INLAND;2,57106599;2,041461007;0,214216634
